Fulfilment ID, Fulfilment Status, CreatedOn,SKU ref, requestedQuantity, filledQuantity, rejectedQuantity
1265835,ASSIGNED,2020-11-17T05:25:15.552Z,39046043,-1,0,0
998414,CECOM RMA Cerrado,2020-10-07T17:58:28.379Z,39411577,1,0,1
998414,CECOM RMA Cerrado,2020-10-07T17:58:28.379Z,40776394,2,0,2
998414,CECOM RMA Cerrado,2020-10-07T17:58:28.379Z,40776395,-1,0,-1
950851,Rechazado en Tienda,2020-09-23T23:09:20.610Z,41098304,-1,-1,0
848720,Rechazado en Tienda,2020-08-31T11:21:24.520Z,40005472,-1,-1,0
848351,Rechazado en Tienda,2020-08-31T11:17:18.969Z,37751042,-1,-1,0
848198,Reasignado,2020-08-31T11:15:14.563Z,36819063,-1,0,-1
848171,RMA Cerrado,2020-08-31T11:14:50.733Z,40628963,1,0,1
848171,RMA Cerrado,2020-08-31T11:14:50.733Z,40773996,-1,0,-1
848088,RMA Cerrado,2020-08-31T11:13:41.129Z,11863779,1,0,1
848088,RMA Cerrado,2020-08-31T11:13:41.129Z,40257362,-1,0,-1
838468,Rechazado en Tienda,2020-08-29T22:24:06.437Z,38796754,-1,-1,0
807369,Rechazado en Tienda,2020-08-27T06:46:16.269Z,38928744,-1,-1,0
624364,RMA Cerrado,2020-08-06T08:23:10.183Z,39238662,-1,0,-1
624364,RMA Cerrado,2020-08-06T08:23:10.183Z,39238664,1,0,1
839650,RMA Cerrado,2020-08-30T01:16:21.293Z,39007814,-2,0,-2
839650,RMA Cerrado,2020-08-30T01:16:21.293Z,39007772,-44,0,-44
827597,RMA Cerrado,2020-08-28T14:33:50.479Z,39034548,-2,0,0
827548,CECOM RMA Generado,2020-08-28T14:33:09.067Z,39034548,-2,0,0
825850,Rechazado en Tienda,2020-08-28T13:56:01.189Z,14424449,-2,-2,0
1228505,ASSIGNED,2020-11-13T16:19:20.275Z,39649180,-3,0,0
1084669,RMA Cerrado,2020-10-23T17:27:45.630Z,38323018,-5,0,-5
803786,RMA Cerrado,2020-08-26T23:54:20.851Z,39898985,1,0,1
803786,RMA Cerrado,2020-08-26T23:54:20.851Z,38796754,-8,0,-8
930696,RMA Cerrado,2020-09-16T16:32:06.318Z,39039505,-9,0,-9
681582,Rechazado en Tienda,2020-08-12T04:10:01.968Z,37523737,-12,-12,0
839650,RMA Cerrado,2020-08-30T01:16:21.293Z,39007814,-2,0,-2
839650,RMA Cerrado,2020-08-30T01:16:21.293Z,39007772,-44,0,-44
